competition,role,judge,country
ec2025SEG001OF,Judge No.2,Marjo KANKAANRANTA,Finland
ec2025SEG001OF,Judge No.3,Salome CHIGOGIDZE,Georgia
ec2025SEG001OF,Judge No.4,Agnieszka SWIDERSKA,Poland
ec2025SEG001OF,Judge No.5,Andrea SIMANCIKOVA,Slovakia
ec2025SEG001OF,Judge No.6,Ebru ANILDI,Turkey
ec2025SEG001OF,Judge No.7,Agita ABELE,Latvia
ec2025SEG001OF,Judge No.8,Daniel DELFA,Spain
ec2025SEG001OF,Judge No.9,Vera TAUCHMANOVA,Czech Republic
ec2025SEG002OF,Judge No.1,Karin EHRHARDT,Austria
ec2025SEG002OF,Judge No.2,Vera TAUCHMANOVA,Czech Republic
ec2025SEG002OF,Judge No.3,Ludwig CZOCZEK,Germany
ec2025SEG002OF,Judge No.4,Marco BUTTARELLI,Italy
ec2025SEG002OF,Judge No.5,Andrea SIMANCIKOVA,Slovakia
ec2025SEG002OF,Judge No.6,Salome CHIGOGIDZE,Georgia
ec2025SEG002OF,Judge No.7,Kadi ZVIRIK,Estonia
ec2025SEG002OF,Judge No.8,Agnieszka SWIDERSKA,Poland
ec2025SEG002OF,Judge No.9,Vessela POPOVA,Bulgaria
ec2025SEG003OF,Judge No.1,Tatiana YORDANOVA,Bulgaria
ec2025SEG003OF,Judge No.2,Karolina MATESA,Sweden
ec2025SEG003OF,Judge No.3,Tarja RISTANEN,Finland
ec2025SEG003OF,Judge No.4,Milica LJUJIC,Serbia
ec2025SEG003OF,Judge No.5,Katharina HEUSINGER,Germany
ec2025SEG003OF,Judge No.6,Florence VUYLSTEKER,France
ec2025SEG003OF,Judge No.7,Alice WALDER,Switzerland
ec2025SEG003OF,Judge No.8,Kari-Anne OLSEN,Norway
ec2025SEG003OF,Judge No.9,Breda MARINSEK,Slovenia
ec2025SEG004OF,Judge No.1,Tatiana YORDANOVA,Bulgaria
ec2025SEG004OF,Judge No.2,Alice WALDER,Switzerland
ec2025SEG004OF,Judge No.3,Anna KANTOR,Israel
ec2025SEG004OF,Judge No.4,Karolina MATESA,Sweden
ec2025SEG004OF,Judge No.5,Florence VUYLSTEKER,France
ec2025SEG004OF,Judge No.6,Tiziana MORANDI,Italy
ec2025SEG004OF,Judge No.7,Jitka MOKRA,Czech Republic
ec2025SEG004OF,Judge No.8,Katharina HEUSINGER,Germany
ec2025SEG004OF,Judge No.9,Breda MARINSEK,Slovenia
wc2025SEG001OF,Judge No.1,Feng HUANG,China
wc2025SEG001OF,Judge No.2,Josip CEROVAC,Croatia
wc2025SEG001OF,Judge No.3,Anu NIINIRANTA,Finland
wc2025SEG001OF,Judge No.4,Anna KANTOR,Israel
wc2025SEG001OF,Judge No.5,Anthony LEROY,France
wc2025SEG001OF,Judge No.6,Tatiana YORDANOVA,Bulgaria
wc2025SEG001OF,Judge No.7,Claire SHEPHERD,Great Britain
wc2025SEG001OF,Judge No.8,Kadi ZVIRIK,Estonia
wc2025SEG001OF,Judge No.9,Laila DAVIDSSON,Sweden
wc2025SEG002OF,Judge No.1,Josip CEROVAC,Croatia
wc2025SEG002OF,Judge No.2,Akos PETHES,Hungary
wc2025SEG002OF,Judge No.3,Anna KANTOR,Israel
wc2025SEG002OF,Judge No.4,Elke TREITZ,Germany
wc2025SEG002OF,Judge No.5,Anu NIINIRANTA,Finland
wc2025SEG002OF,Judge No.6,Stanislava SMIDOVA,Czech Republic
wc2025SEG002OF,Judge No.7,Claire SHEPHERD,Great Britain
wc2025SEG002OF,Judge No.8,Kadi ZVIRIK,Estonia
wc2025SEG002OF,Judge No.9,Agita ABELE,Latvia
wc2025SEG003OF,Judge No.1,Albert ZAYDMAN,Israel
wc2025SEG003OF,Judge No.2,Hedviga FIALKOVA,Slovakia
wc2025SEG003OF,Judge No.3,Miroslav MISUREC,Czech Republic
wc2025SEG003OF,Judge No.4,Florence VUYLSTEKER,France
wc2025SEG003OF,Judge No.5,Hege Rosto JENSEN,Norway
wc2025SEG003OF,Judge No.6,Prisca BINZ-MOSER,Switzerland
wc2025SEG003OF,Judge No.7,Ritsuko HORIUCHI,Japan
wc2025SEG003OF,Judge No.8,Massimo ORLANDINI,Italy
wc2025SEG003OF,Judge No.9,Marina BESCHEA,Romania
wc2025SEG004OF,Judge No.1,Katarina HENRIKSSON,Sweden
wc2025SEG004OF,Judge No.2,Miroslav MISUREC,Czech Republic
wc2025SEG004OF,Judge No.3,Massimo ORLANDINI,Italy
wc2025SEG004OF,Judge No.4,Prisca BINZ-MOSER,Switzerland
wc2025SEG004OF,Judge No.5,Ritsuko HORIUCHI,Japan
wc2025SEG004OF,Judge No.6,Francoise de RAPPARD,Belgium
wc2025SEG004OF,Judge No.7,Robert ROSENBLUTH,USA
wc2025SEG004OF,Judge No.8,Aniela HEBEL-SZMAK,Poland
wc2025SEG004OF,Judge No.9,Florence VUYLSTEKER,France
gpusa2024SEG001OF,Judge No.1,Agita ABELE,Latvia
gpusa2024SEG001OF,Judge No.2,Sasha MARTINEZ,Mexico
gpusa2024SEG001OF,Judge No.3,Patty KLEIN,Canada
gpusa2024SEG001OF,Judge No.4,Katalin BALCZO,Hungary
gpusa2024SEG001OF,Judge No.5,Anita BERNASCONI,Switzerland
gpusa2024SEG001OF,Judge No.6,Kevin ROSENSTEIN,USA
gpusa2024SEG001OF,Judge No.7,Yulia LEVSHUNOVA,Georgia
gpusa2024SEG001OF,Judge No.8,Richard KOSINA,Czech Republic
gpusa2024SEG001OF,Judge No.9,Veronique VERRUE,France
gpusa2024SEG002OF,Judge No.1,Agita ABELE,Latvia
gpusa2024SEG002OF,Judge No.2,Sasha MARTINEZ,Mexico
gpusa2024SEG002OF,Judge No.3,Patty KLEIN,Canada
gpusa2024SEG002OF,Judge No.4,Katalin BALCZO,Hungary
gpusa2024SEG002OF,Judge No.5,Anita BERNASCONI,Switzerland
gpusa2024SEG002OF,Judge No.6,Kevin ROSENSTEIN,USA
gpusa2024SEG002OF,Judge No.7,Yulia LEVSHUNOVA,Georgia
gpusa2024SEG002OF,Judge No.8,Richard KOSINA,Czech Republic
gpusa2024SEG002OF,Judge No.9,Veronique VERRUE,France
gpusa2024SEG003OF,Judge No.1,Tetsuo ABE,Japan
gpusa2024SEG003OF,Judge No.2,Chihee RHEE,South Korea
gpusa2024SEG003OF,Judge No.3,Kathaleen CUTONE,USA
gpusa2024SEG003OF,Judge No.4,Antony GREVISSE,Belgium
gpusa2024SEG003OF,Judge No.5,Claudia STAHNKE,Germany
gpusa2024SEG003OF,Judge No.6,Agita ABELE,Latvia
gpusa2024SEG003OF,Judge No.7,Anita BERNASCONI,Switzerland
gpusa2024SEG003OF,Judge No.8,Saara EHALT,Finland
gpusa2024SEG003OF,Judge No.9,Veronique VERRUE,France
gpusa2024SEG004OF,Judge No.1,Tetsuo ABE,Japan
gpusa2024SEG004OF,Judge No.2,Chihee RHEE,South Korea
gpusa2024SEG004OF,Judge No.3,Kathaleen CUTONE,USA
gpusa2024SEG004OF,Judge No.4,Antony GREVISSE,Belgium
gpusa2024SEG004OF,Judge No.5,Claudia STAHNKE,Germany
gpusa2024SEG004OF,Judge No.6,Agita ABELE,Latvia
gpusa2024SEG004OF,Judge No.7,Anita BERNASCONI,Switzerland
gpusa2024SEG004OF,Judge No.8,Saara EHALT,Finland
gpusa2024SEG004OF,Judge No.9,Veronique VERRUE,France
gpcan2024SEG001OF,Judge No.1,Florence VUYLSTEKER,France
gpcan2024SEG001OF,Judge No.2,Yury KLIUSHNIKOV,Azerbaijan
gpcan2024SEG001OF,Judge No.3,Yoko KUNO,Japan
gpcan2024SEG001OF,Judge No.4,Robert ROSENBLUTH,USA
gpcan2024SEG001OF,Judge No.5,Nadezhda PARETSKAIA,Kazakhstan
gpcan2024SEG001OF,Judge No.6,Peter VOTH,Germany
gpcan2024SEG001OF,Judge No.7,Deborah ISLAM,Canada
gpcan2024SEG001OF,Judge No.8,Virginia de AGOSTINI,Italy
gpcan2024SEG001OF,Judge No.9,Angelique CLYDE-SMITH,Australia
gpcan2024SEG002OF,Judge No.1,Florence VUYLSTEKER,France
gpcan2024SEG002OF,Judge No.2,Yury KLIUSHNIKOV,Azerbaijan
gpcan2024SEG002OF,Judge No.3,Yoko KUNO,Japan
gpcan2024SEG002OF,Judge No.4,Robert ROSENBLUTH,USA
gpcan2024SEG002OF,Judge No.5,Nadezhda PARETSKAIA,Kazakhstan
gpcan2024SEG002OF,Judge No.6,Peter VOTH,Germany
gpcan2024SEG002OF,Judge No.7,Deborah ISLAM,Canada
gpcan2024SEG002OF,Judge No.8,Virginia de AGOSTINI,Italy
gpcan2024SEG002OF,Judge No.9,Angelique CLYDE-SMITH,Australia
gpcan2024SEG003OF,Judge No.1,Aniela HEBEL-SZMAK,Poland
gpcan2024SEG003OF,Judge No.2,Florence VUYLSTEKER,France
gpcan2024SEG003OF,Judge No.3,Karen HOWARD,Canada
gpcan2024SEG003OF,Judge No.4,Zuzana PLESNIKOVA,Czech Republic
gpcan2024SEG003OF,Judge No.5,Daniella KARSIJNS,Netherlands
gpcan2024SEG003OF,Judge No.6,Nadezhda PARETSKAIA,Kazakhstan
gpcan2024SEG003OF,Judge No.7,Yoko KUNO,Japan
gpcan2024SEG003OF,Judge No.8,Donatella LEONELLI,Switzerland
gpcan2024SEG003OF,Judge No.9,Robert ROSENBLUTH,USA
gpcan2024SEG004OF,Judge No.1,Aniela HEBEL-SZMAK,Poland
gpcan2024SEG004OF,Judge No.2,Florence VUYLSTEKER,France
gpcan2024SEG004OF,Judge No.3,Karen HOWARD,Canada
gpcan2024SEG004OF,Judge No.4,Zuzana PLESNIKOVA,Czech Republic
gpcan2024SEG004OF,Judge No.5,Daniella KARSIJNS,Netherlands
gpcan2024SEG004OF,Judge No.6,Nadezhda PARETSKAIA,Kazakhstan
gpcan2024SEG004OF,Judge No.7,Yoko KUNO,Japan
gpcan2024SEG004OF,Judge No.8,Donatella LEONELLI,Switzerland
gpcan2024SEG004OF,Judge No.9,Robert ROSENBLUTH,USA
gpfra2024SEG001OF,Judge No.1,Makoto KANO,Japan
gpfra2024SEG001OF,Judge No.2,Regina SHAMSHILOVA,Kazakhstan
gpfra2024SEG001OF,Judge No.3,Jelena GALIMOVA,Estonia
gpfra2024SEG001OF,Judge No.4,Hailan JIANG,China
gpfra2024SEG001OF,Judge No.5,Bettina MEIER,Switzerland
gpfra2024SEG001OF,Judge No.6,Gloria MORANDI,Italy
gpfra2024SEG001OF,Judge No.7,Leslie KEEN,Canada
gpfra2024SEG001OF,Judge No.8,Anthony LEROY,France
gpfra2024SEG001OF,Judge No.9,Stefanie MATHEWSON,USA
gpfra2024SEG002OF,Judge No.1,Makoto KANO,Japan
gpfra2024SEG002OF,Judge No.2,Regina SHAMSHILOVA,Kazakhstan
gpfra2024SEG002OF,Judge No.3,Jelena GALIMOVA,Estonia
gpfra2024SEG002OF,Judge No.4,Hailan JIANG,China
gpfra2024SEG002OF,Judge No.5,Bettina MEIER,Switzerland
gpfra2024SEG002OF,Judge No.6,Gloria MORANDI,Italy
gpfra2024SEG002OF,Judge No.7,Leslie KEEN,Canada
gpfra2024SEG002OF,Judge No.8,Anthony LEROY,France
gpfra2024SEG002OF,Judge No.9,Stefanie MATHEWSON,USA
gpfra2024SEG003OF,Judge No.1,Stefanie MATHEWSON,USA
gpfra2024SEG003OF,Judge No.2,Makoto KANO,Japan
gpfra2024SEG003OF,Judge No.3,Kyung Won SAKONG,South Korea
gpfra2024SEG003OF,Judge No.4,Albert SAADI,Monaco
gpfra2024SEG003OF,Judge No.5,Erica TOPOLSKI,Canada
gpfra2024SEG003OF,Judge No.6,Ludwig CZOCZEK,Germany
gpfra2024SEG003OF,Judge No.7,Francoise de RAPPARD,Belgium
gpfra2024SEG003OF,Judge No.8,Isabelle PEROLINI,France
gpfra2024SEG003OF,Judge No.9,Bettina MEIER,Switzerland
gpfra2024SEG004OF,Judge No.1,Stefanie MATHEWSON,USA
gpfra2024SEG004OF,Judge No.2,Makoto KANO,Japan
gpfra2024SEG004OF,Judge No.3,Kyung Won SAKONG,South Korea
gpfra2024SEG004OF,Judge No.4,Albert SAADI,Monaco
gpfra2024SEG004OF,Judge No.5,Erica TOPOLSKI,Canada
gpfra2024SEG004OF,Judge No.6,Ludwig CZOCZEK,Germany
gpfra2024SEG004OF,Judge No.7,Francoise de RAPPARD,Belgium
gpfra2024SEG004OF,Judge No.8,Isabelle PEROLINI,France
gpfra2024SEG004OF,Judge No.9,Bettina MEIER,Switzerland
gpjpn2024SEG001OF,Judge No.1,Eddy WU,Taiwan
gpjpn2024SEG001OF,Judge No.2,Yury KLIUSHNIKOV,Azerbaijan
gpjpn2024SEG001OF,Judge No.3,Jung Sue LEE,South Korea
gpjpn2024SEG001OF,Judge No.4,Ayumi ONO,Japan
gpjpn2024SEG001OF,Judge No.5,Peggy GRAHAM,USA
gpjpn2024SEG001OF,Judge No.6,Anna KANTOR,Israel
gpjpn2024SEG001OF,Judge No.7,Marco BUTTARELLI,Italy
gpjpn2024SEG001OF,Judge No.8,Sabrina WONG,Canada
gpjpn2024SEG001OF,Judge No.9,Kadi ZVIRIK,Estonia
gpjpn2024SEG002OF,Judge No.1,Eddy WU,Taiwan
gpjpn2024SEG002OF,Judge No.2,Yury KLIUSHNIKOV,Azerbaijan
gpjpn2024SEG002OF,Judge No.3,Jung Sue LEE,South Korea
gpjpn2024SEG002OF,Judge No.4,Ayumi ONO,Japan
gpjpn2024SEG002OF,Judge No.5,Peggy GRAHAM,USA
gpjpn2024SEG002OF,Judge No.6,Anna KANTOR,Israel
gpjpn2024SEG002OF,Judge No.7,Marco BUTTARELLI,Italy
gpjpn2024SEG002OF,Judge No.8,Sabrina WONG,Canada
gpjpn2024SEG002OF,Judge No.9,Kadi ZVIRIK,Estonia
gpjpn2024SEG003OF,Judge No.1,Peggy GRAHAM,USA
gpjpn2024SEG003OF,Judge No.2,Etsuko AZUMA,Japan
gpjpn2024SEG003OF,Judge No.3,Laimute KRAUZIENE,Lithuania
gpjpn2024SEG003OF,Judge No.4,Marco BUTTARELLI,Italy
gpjpn2024SEG003OF,Judge No.5,Anna SIEROCKA,Poland
gpjpn2024SEG003OF,Judge No.6,Jung Sue LEE,South Korea
gpjpn2024SEG003OF,Judge No.7,Attila SOOS,Hungary
gpjpn2024SEG003OF,Judge No.8,Hermi OTTEMANN,Netherlands
gpjpn2024SEG003OF,Judge No.9,Kadi ZVIRIK,Estonia
gpjpn2024SEG004OF,Judge No.1,Peggy GRAHAM,USA
gpjpn2024SEG004OF,Judge No.2,Etsuko AZUMA,Japan
gpjpn2024SEG004OF,Judge No.3,Laimute KRAUZIENE,Lithuania
gpjpn2024SEG004OF,Judge No.4,Marco BUTTARELLI,Italy
gpjpn2024SEG004OF,Judge No.5,Anna SIEROCKA,Poland
gpjpn2024SEG004OF,Judge No.6,Jung Sue LEE,South Korea
gpjpn2024SEG004OF,Judge No.7,Attila SOOS,Hungary
gpjpn2024SEG004OF,Judge No.8,Hermi OTTEMANN,Netherlands
gpjpn2024SEG004OF,Judge No.9,Kadi ZVIRIK,Estonia
gpfin2024SEG001OF,Judge No.1,Raffaella LOCATELLI,Italy
gpfin2024SEG001OF,Judge No.2,So Young AN,South Korea
gpfin2024SEG001OF,Judge No.3,Jelena GALIMOVA,Estonia
gpfin2024SEG001OF,Judge No.4,Anu NIINIRANTA,Finland
gpfin2024SEG001OF,Judge No.5,Ritsuko HORIUCHI,Japan
gpfin2024SEG001OF,Judge No.6,Anthony LEROY,France
gpfin2024SEG001OF,Judge No.7,Kristina LUNDGREN,USA
gpfin2024SEG001OF,Judge No.8,Christine BLANC,Switzerland
gpfin2024SEG001OF,Judge No.9,Magdalena RUSIECKA,Poland
gpfin2024SEG002OF,Judge No.1,Raffaella LOCATELLI,Italy
gpfin2024SEG002OF,Judge No.2,So Young AN,South Korea
gpfin2024SEG002OF,Judge No.3,Jelena GALIMOVA,Estonia
gpfin2024SEG002OF,Judge No.4,Anu NIINIRANTA,Finland
gpfin2024SEG002OF,Judge No.5,Ritsuko HORIUCHI,Japan
gpfin2024SEG002OF,Judge No.6,Anthony LEROY,France
gpfin2024SEG002OF,Judge No.7,Kristina LUNDGREN,USA
gpfin2024SEG002OF,Judge No.8,Christine BLANC,Switzerland
gpfin2024SEG002OF,Judge No.9,Magdalena RUSIECKA,Poland
gpfin2024SEG003OF,Judge No.1,Marjo KANKAANRANTA,Finland
gpfin2024SEG003OF,Judge No.2,Ann MUESING,Belgium
gpfin2024SEG003OF,Judge No.3,Kristina LUNDGREN,USA
gpfin2024SEG003OF,Judge No.4,Jelena GALIMOVA,Estonia
gpfin2024SEG003OF,Judge No.5,So Young AN,South Korea
gpfin2024SEG003OF,Judge No.6,Ritsuko HORIUCHI,Japan
gpfin2024SEG003OF,Judge No.7,Anthony LEROY,France
gpfin2024SEG003OF,Judge No.8,Noemi STIPKOVITS,Hungary
gpfin2024SEG003OF,Judge No.9,Vera TAUCHMANOVA,Czech Republic
gpfin2024SEG004OF,Judge No.1,Marjo KANKAANRANTA,Finland
gpfin2024SEG004OF,Judge No.2,Ann MUESING,Belgium
gpfin2024SEG004OF,Judge No.3,Kristina LUNDGREN,USA
gpfin2024SEG004OF,Judge No.4,Jelena GALIMOVA,Estonia
gpfin2024SEG004OF,Judge No.5,So Young AN,South Korea
gpfin2024SEG004OF,Judge No.6,Ritsuko HORIUCHI,Japan
gpfin2024SEG004OF,Judge No.7,Anthony LEROY,France
gpfin2024SEG004OF,Judge No.8,Noemi STIPKOVITS,Hungary
gpfin2024SEG004OF,Judge No.9,Vera TAUCHMANOVA,Czech Republic
gpchn2024SEG001OF,Judge No.1,Carmen LAUN,Germany
gpchn2024SEG001OF,Judge No.2,Soo Kyung LEE,South Korea
gpchn2024SEG001OF,Judge No.3,Fan YANG,China
gpchn2024SEG001OF,Judge No.4,Nadezhda PARETSKAIA,Kazakhstan
gpchn2024SEG001OF,Judge No.5,Walter TOIGO,Italy
gpchn2024SEG001OF,Judge No.6,Reaghan FORTIN,Canada
gpchn2024SEG001OF,Judge No.7,Melanie PRAGUE,France
gpchn2024SEG001OF,Judge No.8,Ayako SHIMODE,Japan
gpchn2024SEG001OF,Judge No.9,Irina KOMARNICKA,Latvia
gpchn2024SEG002OF,Judge No.1,Carmen LAUN,Germany
gpchn2024SEG002OF,Judge No.2,Soo Kyung LEE,South Korea
gpchn2024SEG002OF,Judge No.3,Fan YANG,China
gpchn2024SEG002OF,Judge No.4,Nadezhda PARETSKAIA,Kazakhstan
gpchn2024SEG002OF,Judge No.5,Walter TOIGO,Italy
gpchn2024SEG002OF,Judge No.6,Reaghan FORTIN,Canada
gpchn2024SEG002OF,Judge No.7,Melanie PRAGUE,France
gpchn2024SEG002OF,Judge No.8,Ayako SHIMODE,Japan
gpchn2024SEG002OF,Judge No.9,Irina KOMARNICKA,Latvia
gpchn2024SEG003OF,Judge No.1,Hui LIU,China
gpchn2024SEG003OF,Judge No.2,Carmen LAUN,Germany
gpchn2024SEG003OF,Judge No.3,Massimo ORLANDINI,Italy
gpchn2024SEG003OF,Judge No.4,Albert ZAYDMAN,Israel
gpchn2024SEG003OF,Judge No.5,Soo Kyung LEE,South Korea
gpchn2024SEG003OF,Judge No.6,Deborah CURRIE,USA
gpchn2024SEG003OF,Judge No.7,Prisca BINZ-MOSER,Switzerland
gpchn2024SEG003OF,Judge No.8,Limin JAO,Canada
gpchn2024SEG003OF,Judge No.9,Ayako SHIMODE,Japan
gpchn2024SEG004OF,Judge No.1,Hui LIU,China
gpchn2024SEG004OF,Judge No.2,Carmen LAUN,Germany
gpchn2024SEG004OF,Judge No.3,Massimo ORLANDINI,Italy
gpchn2024SEG004OF,Judge No.4,Albert ZAYDMAN,Israel
gpchn2024SEG004OF,Judge No.5,Soo Kyung LEE,South Korea
gpchn2024SEG004OF,Judge No.6,Deborah CURRIE,USA
gpchn2024SEG004OF,Judge No.7,Prisca BINZ-MOSER,Switzerland
gpchn2024SEG004OF,Judge No.8,Limin JAO,Canada
gpchn2024SEG004OF,Judge No.9,Ayako SHIMODE,Japan
gpf2024SEG001OF,Judge No.1,Peggy GRAHAM,USA
gpf2024SEG001OF,Judge No.2,Susan PETRICEVIC,New Zealand
gpf2024SEG001OF,Judge No.3,Hedviga FIALKOVA,Slovakia
gpf2024SEG001OF,Judge No.4,Raffaella LOCATELLI,Italy
gpf2024SEG001OF,Judge No.5,Elke TREITZ,Germany
gpf2024SEG001OF,Judge No.6,Pia ALHONEN,Finland
gpf2024SEG001OF,Judge No.7,Ayumi ONO,Japan
gpf2024SEG001OF,Judge No.8,Jung Sue LEE,South Korea
gpf2024SEG001OF,Judge No.9,Philippe MERIGUET,France
gpf2024SEG002OF,Judge No.1,Peggy GRAHAM,USA
gpf2024SEG002OF,Judge No.2,Susan PETRICEVIC,New Zealand
gpf2024SEG002OF,Judge No.3,Hedviga FIALKOVA,Slovakia
gpf2024SEG002OF,Judge No.4,Raffaella LOCATELLI,Italy
gpf2024SEG002OF,Judge No.5,Elke TREITZ,Germany
gpf2024SEG002OF,Judge No.6,Pia ALHONEN,Finland
gpf2024SEG002OF,Judge No.7,Ayumi ONO,Japan
gpf2024SEG002OF,Judge No.8,Jung Sue LEE,South Korea
gpf2024SEG002OF,Judge No.9,Philippe MERIGUET,France
gpf2024SEG003OF,Judge No.1,Hedviga FIALKOVA,Slovakia
gpf2024SEG003OF,Judge No.2,Jung Sue LEE,South Korea
gpf2024SEG003OF,Judge No.3,Yu WANG,China
gpf2024SEG003OF,Judge No.4,Melanie PRAGUE,France
gpf2024SEG003OF,Judge No.5,Yuko OGAWA,Japan
gpf2024SEG003OF,Judge No.6,Andrea DERBY,Canada
gpf2024SEG003OF,Judge No.7,Iryna MEDVEDIEVA,Ukraine
gpf2024SEG003OF,Judge No.8,Stefanie MATHEWSON,USA
gpf2024SEG003OF,Judge No.9,Pia ALHONEN,Finland
gpf2024SEG004OF,Judge No.1,Hedviga FIALKOVA,Slovakia
gpf2024SEG004OF,Judge No.2,Jung Sue LEE,South Korea
gpf2024SEG004OF,Judge No.3,Yu WANG,China
gpf2024SEG004OF,Judge No.4,Melanie PRAGUE,France
gpf2024SEG004OF,Judge No.5,Yuko OGAWA,Japan
gpf2024SEG004OF,Judge No.6,Andrea DERBY,Canada
gpf2024SEG004OF,Judge No.7,Iryna MEDVEDIEVA,Ukraine
gpf2024SEG004OF,Judge No.8,Stefanie MATHEWSON,USA
gpf2024SEG004OF,Judge No.9,Pia ALHONEN,Finland
fc2024SEG001OF,Judge No.1,Karen HOWARD,Canada
fc2024SEG001OF,Judge No.2,Ariadna MORONES NEGRETE,Mexico
fc2024SEG001OF,Judge No.3,Peggy GRAHAM,USA
fc2024SEG001OF,Judge No.4,Claudia BRAMBATI,Italy
fc2024SEG001OF,Judge No.5,Ayumi ONO,Japan
fc2024SEG001OF,Judge No.6,Edward Ka-Yin CHOW,Hong Kong
fc2024SEG001OF,Judge No.7,Dan FANG,China
fc2024SEG001OF,Judge No.8,Katherine Evelyn du PREEZ,Autralia
fc2024SEG001OF,Judge No.9,Margery HILKO,Ireland
fc2024SEG002OF,Judge No.1,Ariadna MORONES NEGRETE,Mexico
fc2024SEG002OF,Judge No.2,Claudia BRAMBATI,Italy
fc2024SEG002OF,Judge No.3,Karen HOWARD,Canada
fc2024SEG002OF,Judge No.4,Katherine Evelyn du PREEZ,Autralia
fc2024SEG002OF,Judge No.5,Tineke POSNO,Netherlands
fc2024SEG002OF,Judge No.6,Edward Ka-Yin CHOW,Hong Kong
fc2024SEG002OF,Judge No.7,Ayumi ONO,Japan
fc2024SEG002OF,Judge No.8,Dan FANG,China
fc2024SEG002OF,Judge No.9,Peggy GRAHAM,USA
fc2024SEG003OF,Judge No.1,Nobuhiko YOSHIOKA,Japan
fc2024SEG003OF,Judge No.2,Sasha MARTINEZ,Mexico
fc2024SEG003OF,Judge No.3,Andrew BOSCO,Canada
fc2024SEG003OF,Judge No.4,Dan CHEN,Hong Kong
fc2024SEG003OF,Judge No.5,Saodat NUMANOVA,Uzbekistan
fc2024SEG003OF,Judge No.6,Jung Sue LEE,South Korea
fc2024SEG003OF,Judge No.7,Kylie Anne YACOPETTI,Australia
fc2024SEG003OF,Judge No.8,Stefanie MATHEWSON,USA
fc2024SEG003OF,Judge No.9,Yumin WANG,China
fc2024SEG004OF,Judge No.1,Andrew BOSCO,Canada
fc2024SEG004OF,Judge No.2,Kylie Anne YACOPETTI,Australia
fc2024SEG004OF,Judge No.3,Saodat NUMANOVA,Uzbekistan
fc2024SEG004OF,Judge No.4,Dan CHEN,Hong Kong
fc2024SEG004OF,Judge No.5,Yumin WANG,China
fc2024SEG004OF,Judge No.6,Sasha MARTINEZ,Mexico
fc2024SEG004OF,Judge No.7,Stefanie MATHEWSON,USA
fc2024SEG004OF,Judge No.8,Jung Sue LEE,South Korea
fc2024SEG004OF,Judge No.9,Nobuhiko YOSHIOKA,Japan
ec2024SEG001OF,Judge No.1,Angelika ULLM,Germany
ec2024SEG001OF,Judge No.2,Anna KANTOR,Israel
ec2024SEG001OF,Judge No.3,Agnieszka SWIDERSKA,Poland
ec2024SEG001OF,Judge No.4,Alice WALDER,Switzerland
